ORIG_FID,대분류,area,Shape_Length,Shape_Area
5,초지,5660.492665,475.6092792,10121.76298
8,산림지,114070.4556,2606.789842,141282.8267
13,하천,117721.1342,5528.42019,173133.547
22,초지,41253.4365,1384.554187,56462.37874
24,초지,47104.94915,1170.238217,58852.03358
25,초지,31810.35136,1291.452574,46564.23117
26,호소 및 습지,5881.482689,362.8251,9197.090602
30,조경녹지,19470.20041,2096.682866,40504.11899
31,조경녹지,14315.96521,561.2455493,19640.69537
39,경작지,45805.03711,1623.361393,62024.97248
42,호소 및 습지,359904.5248,3254.862388,395291.082
44,경작지,47782.30314,1012.760288,57746.3056
50,하천,288096.9192,13153.87535,424217.6003
51,초지,73722.46131,1497.412086,90949.23548
58,조경녹지,216485.4863,6518.880625,286136.2418
63,경작지,46178.11767,1181.539637,61080.79227
67,초지,5634.164202,977.2095128,15321.81493
68,경작지,26015.89093,1251.12292,39406.1034
69,초지,8220.15203,1889.625594,27843.58982
78,호소 및 습지,8225.678714,456.0681378,12471.99124
80,초지,5556.197961,1048.880973,16455.75862
82,호소 및 습지,134618.4209,1895.992858,153322.069
86,산림지,2159583.776,17937.29446,2342735.254
87,경작지,23660.23605,1021.823634,34075.74075
90,경작지,5504.952098,386.7685993,9111.79511
91,조경녹지,5328.452015,584.8955335,12243.31871
98,산림지,22583.41566,949.4375336,31823.11261
99,산림지,256706.0587,4543.89885,302803.5287
101,초지,8569.045339,833.2899174,16968.1218
103,조경녹지,126543.5228,1891.389303,145272.107
104,호소 및 습지,240112.677,2101.991579,261118.4363
106,경작지,14479.69969,541.3624255,19580.42874
107,조경녹지,107169.9081,5341.379626,161454.135
112,경작지,23044.14041,1179.769345,35645.64516
118,초지,7527.111311,1246.805747,19880.14925
120,경작지,26465.94775,908.3780564,37529.55137
121,경작지,161919.6104,3612.879587,202037.3891
122,경작지,39156.2114,1133.087045,51248.87362
123,경작지,7153.222173,555.0621585,12453.05125
124,경작지,18368.70174,735.2033144,26505.55456
127,산림지,201819.8836,2833.976584,230258.9693
128,조경녹지,60802.14611,2073.404484,81477.55664
131,호소 및 습지,111469.4689,1369.390017,124850.0089
132,조경녹지,468935.9759,21079.78304,694305.5252
135,경작지,10913.62459,498.7901299,15607.89818
137,경작지,14651.79187,544.2785842,19780.96594
138,경작지,12415.20433,505.1456746,17152.11282
144,경작지,7487.930254,566.5674799,12841.43725
150,조경녹지,96535.65209,3715.145565,134843.1344
154,경작지,38094.06349,886.5144162,47378.82314
157,조경녹지,178786.2657,7205.934751,256698.2128
158,산림지,26731.68619,1103.656339,37467.98895
163,호소 및 습지,308057.5292,4109.838276,350359.4213
165,산림지,239401.7047,5398.908768,293160.8261
166,산림지,15555.14169,765.4346187,22897.57514
171,초지,5249.604068,892.9052747,15299.85326
172,산림지,6440.395467,452.2499575,10648.89428
173,초지,10202.68322,744.8634302,17384.66943
174,초지,51840.72798,1615.484236,69948.40124
179,초지,10461.93183,1101.504359,21825.43554
191,조경녹지,8641.927673,714.764613,15912.93263
192,호소 및 습지,8483.973765,473.9684725,12910.44497
194,산림지,82482.89598,2387.354418,106976.0719
201,산림지,17354.7987,718.2298898,24232.51657
204,산림지,20637.90673,1012.906435,30622.33923
205,산림지,134999.5807,2399.044677,158893.9051
206,조경녹지,17767.05946,1773.257457,35349.95444
208,조경녹지,51970.8779,4085.190938,94216.59996
211,조경녹지,90331.95753,4730.171398,140779.1526
212,호소 및 습지,316661.5433,3395.251005,350452.9601
220,경작지,8167.227454,586.2079645,13952.27093
221,경작지,124440.4069,2685.393021,154246.7351
222,경작지,5910.278345,450.6014148,10222.10587
224,조경녹지,189150.0202,5791.737242,249373.5696
229,산림지,66595.63785,1610.909772,82565.16224
239,산림지,45091.27026,980.0284826,54586.9554
244,조경녹지,206007.6194,3998.671206,246363.5843
248,하천,10607.89446,581.4949133,16137.23839
257,산림지,45006.46814,1072.162786,55434.96335
263,산림지,17313.82645,1020.31177,27274.90081
266,산림지,43064.25277,1043.822271,53689.09945
271,산림지,15270.55067,549.2636764,20451.8248
274,초지,29451.00925,2329.896832,53082.88068
275,초지,12081.11708,1548.810636,27387.59045
278,산림지,7315.65358,641.5024578,13416.78807
279,산림지,42585.59873,1086.855426,53145.59029
281,조경녹지,45235.44404,3080.533817,77203.9183
287,산림지,141698.0016,2485.587406,167285.5904
288,산림지,147707.9595,4273.433499,191235.652
295,경작지,111491.4394,2492.781098,141466.9732
326,산림지,6571.796019,485.4126874,11192.8254
327,산림지,12854.13587,553.9009168,18079.64082
330,초지,9165.350529,1135.28377,20378.11428
340,산림지,731761.7842,9680.309247,833250.8392
343,산림지,58155.4619,1971.78716,78101.38729
344,조경녹지,53899.81944,1454.828905,68268.06074
349,경작지,8971.556785,656.4250257,15305.30436
355,초지,6881.489879,787.7927531,14470.56339
357,경작지,7074.479278,464.9809638,11781.77666
